Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeID,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,WorkloadScore,WeeklyHoursWorked,MonthlyMeetings,CompensationSatisfaction,CareerGrowthPerception,ManagerSupportScore,WorkModel,ProductivityScore,SalaryBand,ExperienceBand,TenureBand,WHI,WHI_Risk_Category
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,3,46.3,9,4,2,5,Hybrid,4,Average,Mid (6-10),Veteran (6-10),63.723602874879795,Moderate
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5,3,46.3,4,5,3,4,Hybrid,3,Below Average,Mid (6-10),Veteran (6-10),67.79145826650955,Moderate
22,No,Non-Travel,1123,Research & Development,16,2,Medical,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0,4,45.9,14,2,4,3,Onsite,3,Low,Entry (0-2),New (0-1),55.817868433633436,Moderate
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,23,1,Female,78,2,4,Manager,4,Married,15427,22021,2,No,16,3,3,0,31,3,3,25,8,3,7,3,38.0,34,4,4,4,Onsite,4,High,Expert (20+),Lifer (10+),67.48592870132377,Moderate
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,24,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2,3,55.4,7,3,4,4,Remote,3,Below Average,Mid (6-10),Settling (2-3),67.45623142305513,Moderate
24,No,Non-Travel,673,Research & Development,11,2,Other,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,No,18,3,4,1,5,5,2,4,2,1,3,4,39.7,7,3,5,5,Hybrid,4,Below Average,Early (3-5),Established (4-5),71.09538646889482,Healthy
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,27,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,3,49.8,8,5,4,3,Onsite,5,Below Average,Mid (6-10),Established (4-5),56.16034238930325,Moderate
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,28,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,No,11,3,3,0,13,4,3,12,6,2,11,3,40.3,26,1,4,4,Remote,3,Above Average,Senior (11-20),Lifer (10+),51.798968682699694,Moderate
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,30,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0,2,40.3,6,2,3,3,Hybrid,4,Low,Entry (0-2),New (0-1),58.19545100652059,Moderate
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,31,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3,3,45.8,9,2,4,2,Onsite,3,Low,Mid (6-10),Established (4-5),42.05713208663667,At Risk
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,32,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8,4,54.4,25,3,3,5,Onsite,4,High,Expert (20+),Lifer (10+),59.345319681451535,Moderate
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,33,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7,3,59.5,10,4,3,2,Onsite,2,Below Average,Mid (6-10),Veteran (6-10),38.412796345560515,At Risk
42,No,Travel_Rarely,691,Sales,8,4,Marketing,35,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2,3,45.9,10,4,3,4,Onsite,2,Average,Mid (6-10),Veteran (6-10),61.2121487965416,Moderate
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17,3,46.7,14,4,3,2,Onsite,3,Above Average,Expert (20+),Lifer (10+),53.12438623685486,Moderate
46,No,Travel_Rarely,705,Sales,2,4,Marketing,38,2,Female,83,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1,3,48.8,26,3,3,3,Onsite,3,High,Expert (20+),Settling (2-3),45.91901115020249,At Risk
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0,3,42.7,5,3,3,4,Onsite,3,Low,Mid (6-10),New (0-1),63.75250112544174,Moderate
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3,5,52.2,12,3,3,3,Hybrid,3,Average,Mid (6-10),Established (4-5),52.2708763647642,Moderate
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8,3,36.3,10,2,3,5,Hybrid,4,Low,Mid (6-10),Veteran (6-10),56.91016964647528,Moderate
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,42,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0,3,40.3,11,3,5,3,Onsite,3,Low,Senior (11-20),New (0-1),67.96665582997441,Moderate
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,45,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0,5,47.4,12,3,3,4,Onsite,2,Low,Mid (6-10),Settling (2-3),53.328582062724706,Moderate
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4,2,38.6,4,3,4,5,Hybrid,3,Low,Mid (6-10),Established (4-5),75.67997504126483,Healthy
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,47,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2,4,49.2,8,2,4,2,Hybrid,3,Low,Early (3-5),Settling (2-3),40.48302225881373,At Risk
35,No,Travel_Rarely,890,Sales,2,3,Marketing,49,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2,1,43.4,7,3,5,4,Onsite,3,Low,Entry (0-2),Settling (2-3),79.44828059065195,Healthy
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,51,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0,3,48.5,7,3,2,3,Onsite,2,Below Average,Mid (6-10),New (0-1),42.14387504583987,At Risk
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,52,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3,3,47.0,5,2,3,4,Remote,4,Below Average,Mid (6-10),Established (4-5),53.353820148095245,Moderate
35,No,Travel_Rarely,464,Research & Development,4,2,Other,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0,4,35.0,6,1,3,3,Onsite,3,Low,Entry (0-2),New (0-1),45.534828666052086,At Risk
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0,3,38.8,9,2,4,4,Onsite,4,Low,Entry (0-2),New (0-1),52.71494425349217,Moderate
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1,3,37.5,9,3,3,2,Onsite,2,Low,Entry (0-2),New (0-1),38.81754848172704,At Risk
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,56,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,3,35.1,16,3,3,4,Onsite,3,Average,Mid (6-10),Veteran (6-10),60.296173225749115,Moderate
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7,2,40.8,10,4,4,5,Hybrid,5,Below Average,Senior (11-20),Lifer (10+),81.3016004119597,Healthy
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,58,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,3,45.1,28,2,1,4,Onsite,3,High,Expert (20+),Lifer (10+),48.5164091600372,At Risk
34,No,Non-Travel,1065,Sales,23,4,Marketing,60,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7,3,47.2,9,3,2,4,Hybrid,4,Below Average,Mid (6-10),Veteran (6-10),56.59244292813571,Moderate
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,61,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0,4,42.1,12,4,2,4,Onsite,3,Below Average,Mid (6-10),New (0-1),53.36425906393648,Moderate
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,62,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8,4,43.6,11,5,3,3,Hybrid,3,Below Average,Senior (11-20),Veteran (6-10),63.02404254799249,Moderate
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1,2,47.0,8,4,3,4,Remote,5,Low,Entry (0-2),New (0-1),76.61157022313503,Healthy
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0,5,58.0,10,5,3,2,Hybrid,3,Below Average,Expert (20+),New (0-1),45.75204293766394,At Risk
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2,4,56.8,7,4,2,4,Hybrid,3,Below Average,Entry (0-2),Settling (2-3),54.684986770895485,Moderate
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,3,49.4,14,3,3,1,Onsite,3,Below Average,Mid (6-10),Established (4-5),35.261198983347,At Risk
35,No,Non-Travel,1097,Research & Development,11,2,Medical,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3,5,51.1,15,3,2,3,Onsite,3,Average,Mid (6-10),Established (4-5),31.719955983122826,At Risk
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,72,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0,5,52.0,11,2,4,4,Hybrid,3,Below Average,Early (3-5),Settling (2-3),48.31740269763653,At Risk
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,73,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12,5,61.3,11,4,1,2,Onsite,4,Above Average,Senior (11-20),Lifer (10+),41.77121296386112,At Risk
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,74,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8,3,50.9,11,4,3,4,Hybrid,4,Average,Mid (6-10),Veteran (6-10),55.620220704115354,Moderate
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,75,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2,4,56.4,5,3,2,3,Onsite,3,Below Average,Early (3-5),Settling (2-3),40.20672161033101,At Risk
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,No,22,4,4,1,10,3,2,7,7,1,7,3,39.9,16,5,4,4,Onsite,4,Below Average,Mid (6-10),Veteran (6-10),74.06523817129171,Healthy
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,No,18,3,3,1,7,2,4,7,5,0,7,4,35.8,11,3,3,4,Onsite,4,Below Average,Mid (6-10),Veteran (6-10),53.945007791274556,Moderate
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8,4,50.7,12,4,4,4,Onsite,3,Average,Mid (6-10),Veteran (6-10),67.68437545854854,Moderate
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9,3,35.0,5,3,2,3,Hybrid,3,Low,Mid (6-10),Veteran (6-10),54.71986474440058,Moderate
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,80,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8,4,52.8,14,3,1,3,Onsite,4,High,Expert (20+),Lifer (10+),36.93744072715275,At Risk
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,81,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,No,11,3,4,0,28,3,2,21,16,7,9,2,42.8,9,4,2,4,Remote,4,Average,Expert (20+),Lifer (10+),56.06064984149365,Moderate
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8,4,40.7,13,3,2,4,Onsite,2,Above Average,Senior (11-20),Lifer (10+),52.448283493144,Moderate
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,84,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2,5,43.8,23,3,4,5,Onsite,4,Above Average,Expert (20+),Established (4-5),61.04049073680685,Moderate
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3,3,43.2,13,4,4,5,Hybrid,3,Average,Mid (6-10),Veteran (6-10),65.90217898536628,Moderate
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,86,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,No,17,3,3,1,25,2,3,1,0,0,0,4,40.5,17,5,5,3,Onsite,4,Average,Expert (20+),New (0-1),60.06251944414143,Moderate
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,88,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2,3,35.7,7,2,4,5,Onsite,3,Low,Early (3-5),Settling (2-3),55.9082501441863,Moderate
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,90,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0,4,43.7,13,4,4,3,Onsite,4,Below Average,Entry (0-2),New (0-1),52.42093509047807,Moderate
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,91,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,No,11,3,4,0,20,2,2,4,3,1,3,3,41.8,10,2,3,2,Hybrid,4,Below Average,Senior (11-20),Established (4-5),38.78785120345841,At Risk
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,94,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,No,23,4,4,1,6,3,3,5,4,0,4,4,46.7,9,4,5,3,Onsite,4,Low,Mid (6-10),Established (4-5),59.146543873348946,Moderate
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,95,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0,3,46.2,9,4,3,1,Hybrid,3,Low,Entry (0-2),New (0-1),45.22543054625834,At Risk
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,96,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,No,17,3,2,2,10,3,3,10,4,0,9,4,39.3,13,5,3,5,Remote,3,Average,Mid (6-10),Veteran (6-10),66.76919891546274,Moderate
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0,1,37.2,11,4,4,4,Onsite,5,Below Average,Early (3-5),New (0-1),84.45945995574013,Healthy
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,No,23,4,4,0,11,2,3,11,7,1,8,4,43.0,8,4,4,3,Onsite,4,Below Average,Senior (11-20),Lifer (10+),62.355469375120784,Moderate
35,No,Travel_Rarely,776,Sales,1,4,Marketing,100,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,No,14,3,2,0,16,2,3,15,13,2,8,3,37.1,8,3,4,4,Onsite,2,Below Average,Senior (11-20),Lifer (10+),52.74464153176079,Moderate
45,No,Travel_Rarely,193,Research & Development,6,4,Other,101,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0,4,49.0,26,2,5,4,Remote,3,Above Average,Senior (11-20),New (0-1),54.410115308847494,Moderate
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,102,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2,3,44.9,23,3,3,2,Remote,3,Above Average,Senior (11-20),Established (4-5),51.77396125162724,Moderate
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,103,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2,2,56.7,15,5,3,2,Onsite,4,Below Average,Senior (11-20),Established (4-5),59.0707995351629,Moderate
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0,4,49.5,9,4,3,3,Remote,2,Below Average,Mid (6-10),Veteran (6-10),52.17353269255729,Moderate
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,105,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,No,18,3,1,0,6,3,3,6,4,0,4,3,38.8,5,4,3,3,Onsite,4,Low,Mid (6-10),Veteran (6-10),54.99696442058999,Moderate
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,106,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0,4,39.1,18,4,5,2,Onsite,4,Above Average,Expert (20+),New (0-1),60.73029358930644,Moderate
38,No,Non-Travel,573,Research & Development,6,3,Medical,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,4,52.6,4,4,4,4,Onsite,3,Below Average,Senior (11-20),Lifer (10+),58.99916307411559,Moderate
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,110,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,No,15,3,3,0,5,2,3,5,2,1,3,3,40.2,15,3,3,4,Remote,3,Below Average,Early (3-5),Established (4-5),56.83984532605649,Moderate
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,112,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,No,11,3,1,0,37,3,2,6,4,0,2,3,44.9,12,2,3,3,Onsite,3,Average,Expert (20+),Veteran (6-10),43.23047899436231,At Risk
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,No,13,3,3,1,3,3,3,0,0,0,0,4,43.3,7,3,3,3,Onsite,3,Low,Early (3-5),New (0-1),43.91045190794441,At Risk
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,116,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,No,23,4,2,2,10,4,3,4,2,0,3,3,36.4,8,5,4,4,Hybrid,5,Low,Mid (6-10),Established (4-5),76.20083836402533,Healthy
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,117,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,No,19,3,1,3,11,3,3,11,10,10,8,3,47.1,14,3,3,4,Hybrid,3,Below Average,Senior (11-20),Lifer (10+),59.409894933225274,Moderate
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,118,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,No,16,3,4,0,9,3,3,9,8,4,7,4,41.5,15,4,2,3,Hybrid,4,Average,Mid (6-10),Veteran (6-10),50.6054025876775,Moderate
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,119,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,No,22,4,4,1,22,3,2,22,3,11,11,4,44.8,22,5,2,4,Remote,3,Above Average,Expert (20+),Lifer (10+),51.258356149471496,Moderate
51,No,Travel_Rarely,632,Sales,21,4,Marketing,120,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,0,Yes,22,4,4,0,11,2,1,10,7,1,0,5,49.3,12,3,5,4,Onsite,4,Below Average,Senior (11-20),Veteran (6-10),58.60044246521788,Moderate
